repo,path,lang,bucket,algorithms,evidence
shashankWork21/niche,proxy.ts,ts,env_string,unspecified,process.env.REFRESH_TOKEN_SECRET!
shrutisharma-git/placement-prep-tracker,proxy.ts,ts,env_string,unspecified,process.env.JWT_SECRET
siddhantdixit/LinkStack,app.js,js,env_string,unspecified,process.env.JWTLOGINSECRET
siddhantdixit/LinkStack,app.js,js,env_string,unspecified,process.env.JWTVERIFICATIONSECRET
siteslave/express-onefile,jwt.js,js,env_string,unspecified,secretKey = process.env.SECRET_KEY
smart-on-fhir/bulk-data-server,lib.ts,ts,unknown,unspecified,"config.jwtSecret (member, untraced)"
smart-on-fhir/bulk-data-server,lib.ts,ts,unknown,unspecified,"config.jwtSecret (member, untraced)"
srtucker22/chatty,server/index.js,js,unknown,unspecified,JWT_SECRET (untraced)
sspringer82/webinar,auth/index.js,js,env_string,unspecified,secret = process.env.SECRET
stanford-oval/medxchange,lib/jwt.js,js,unknown,unspecified,secret (untraced)
stoic1979/ScreenWatchApi,app.js,js,string_literal,unspecified,"SECRET_KEY = ""ScreenWatch"""
stoic1979/teammanager,app.js,js,env_string,unspecified,SECRET_KEY = process.env.TEAM_MANAGER_SECRET_KEY
sudeep7regmi/JobConnect,proxy.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
summerwollin/arenajs,app.js,js,string_literal,unspecified,'shhhhhhhhh'
syousif94/aiprox,auth.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET || 'your-secret-key'
techtuxbr/Express.js-User-Auth-API,app.js,js,unknown,unspecified,"config.secret (member, untraced)"
therealAJ/HomeSafe,app/routes/api.js,js,unknown,unspecified,secretKey (untraced)
tmendes13/task-api,auth.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
tonymm81/web_page,index.ts,ts,env_string,unspecified,String(process.env.ACCESS_TOKEN_KEY)
tonymm81/web_page,index.ts,ts,env_string,unspecified,String(process.env.ACCESS_TOKEN_KEY_SECONDARY)
top-universe/cohort2.0_backend_api,app.js,js,unknown,unspecified,JWT_SECRET (untraced)
tpiros/marklogic-jwt-authentication,app.js,js,string_literal,unspecified,'s3cr3t'
traPtitech/vite-plugin-trap-auth,src/key.ts,ts,string_literal,RS,JWT_PUBLIC_KEY = `
tushar-borole/node-enterprise-seed,app.js,js,unknown,unspecified,app.get('superSecret')
tusharzalte/tusharesume,jwt.js,js,string_literal,unspecified,SECRET_TOKEN = 'tusharesumejwttokensecret'
tvelic1/Medic-API,jwt.js,js,env_string,unspecified,process.env.JWT_SECRET
twitchdev/extension-getting-started,services/backend.js,js,unknown,HS,secret (untraced)
twitchdev/extensions-hello-world,services/backend.js,js,unknown,HS,secret (untraced)
vlicvn/qrmenu,proxy.ts,ts,env_string,unspecified,jwtSecret = process.env.JWT_SECRET
vlicvn/qrmenu,proxy.ts,ts,env_string,unspecified,jwtSecret = process.env.JWT_SECRET
vonnieda/WhoaLife,app.js,js,unknown,unspecified,"config.jwtSecret (member, untraced)"
vueneue/examples,api.js,js,string_literal,unspecified,'shhhhh'
vueneue/examples,api.js,js,string_literal,unspecified,'shhhhh'
vuquanganh77/hooper-gate,jwt.ts,ts,env_string,unspecified,"SECRET_KEY = process.env.JWT_SECRET || ""your-secret-key"""
walidbosso/Nodejs_ExpenseTracker,middleware/auth.js,js,env_string,unspecified,process.env.jwt_salt
wass08/tuto-jwt-express,app.js,js,env_string,unspecified,process.env.ACCESS_TOKEN_SECRET
ymc9/petstore-openapi-zenstack,app.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
yuzhou-shuai/hotel,2.js,js,string_literal,unspecified,"secretOrPrivateKey = ""jwt"""
zwave-js/zwave-js-ui,api/app.ts,ts,unknown,unspecified,sessionSecret (untraced)
